Clasif,Pos.,Equipo,Pts,PJ,PG,PE,PP,GF,GC,Dif.,
2014,1,Argentina Argentina,32,16,9,5,2,35,15,20,
2014,2,Colombia Colombia,30,16,9,3,4,27,13,14,
2014,3,Chile Chile,28,16,9,1,6,29,25,4,
2014,4,Ecuador Ecuador,25,16,7,4,5,20,16,4,
2014,5,Uruguay Uruguay,25,16,7,4,5,25,25,0,
2014,6,Venezuela Venezuela,20,16,5,5,6,14,20,-6,
2014,7,Perú Perú,15,16,4,3,9,17,26,-9,
2014,8,Bolivia Bolivia,12,16,2,6,8,17,30,-13,
2014,9,Paraguay Paraguay,12,16,3,3,10,17,31,-14,
2010,1,Brasil Brasil,34,18,9,7,2,33,11,22,
2010,2,Chile Chile,33,18,10,3,5,32,22,10,
2010,3,Paraguay Paraguay,33,18,10,3,5,24,16,8,
2010,4,Argentina Argentina,28,18,8,4,6,23,20,3,
2010,5,Uruguay Uruguay,24,18,6,6,6,28,20,8,
2010,6,Ecuador Ecuador,23,18,6,5,7,22,26,–4,
2010,7,Colombia Colombia,23,18,6,5,7,14,18,–4,
2010,8,Venezuela Venezuela,22,18,6,4,8,23,29,–6,
2010,9,Bolivia Bolivia,15,18,4,3,11,22,36,–14,
2010,10,Perú Perú,13,18,3,4,11,11,34,–23,
2006,1,Brasil,34,18,9,7,2,35,17,18,
2006,2,Argentina Argentina,34,18,10,4,4,29,17,12,
2006,3,Ecuador Ecuador,28,18,8,4,6,23,19,4,
2006,4,Paraguay Paraguay,28,18,8,4,6,23,23,0,
2006,5,Uruguay Uruguay,25,18,6,7,5,23,28,–5,
2006,6,Colombia Colombia,24,18,6,6,6,24,16,8,
2006,7,Chile Chile,22,18,5,7,6,18,22,–4,
2006,8,Venezuela Venezuela,18,18,5,3,10,20,28,–8,
2006,9,Perú Perú,18,18,4,6,8,20,28,–8,
2006,10,Bolivia Bolivia,14,18,4,2,12,20,37,–17,
2002,1,Argentina Argentina,43,18,13,4,1,42,15,27,
2002,2,Ecuador Ecuador,31,18,9,4,5,23,20,3,
2002,3,Brasil Brasil,30,18,9,3,6,31,17,14,
2002,4,Paraguay Paraguay,30,18,9,3,6,29,23,6,
2002,5,Uruguay Uruguay,27,18,7,6,5,19,13,6,
2002,6,Colombia Colombia,27,18,7,6,5,20,15,5,
2002,7,Bolivia Bolivia,18,18,4,6,8,21,33,–12,
2002,8,Perú Perú,16,18,4,4,10,14,25,–11,
2002,9,Venezuela Venezuela,16,18,5,1,12,18,44,–26,
2002,10,Chile Chile,12,18,3,3,12,15,27,–12,
1998,1,Argentina Argentina,30,16,8,6,2,23,13,10,
1998,2,Paraguay Paraguay,29,16,9,2,5,21,14,7,
1998,3,Colombia Colombia,28,16,8,4,4,23,15,8,
1998,4,Chile Chile,25,16,7,4,5,32,18,14,
1998,5,Perú Perú,25,16,7,4,5,19,20,–1,
1998,6,Ecuador Ecuador,21,16,6,3,7,22,21,1,
1998,7,Uruguay Uruguay,21,16,6,3,7,18,21,–3,
1998,8,Bolivia Bolivia,17,16,4,5,7,18,21,–3,
1998,9,Venezuela Venezuela,3,16,0,3,13,8,41,–33,
