"Jugador","Posicion","from","Tipo","caso","to","equipo","id","ex_from","ex_to","B_from","B_to","O_from","O_to","from2","to2"
"Manuel Fernández","Defensa Central","Coquimbo Unido","Traspaso","Altas","Audax Italiano","Audax Italiano",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Audax Italiano"
"Nicolás Crovetto","Lateral Izquierdo","Coquimbo Unido","Libre","Altas","Audax Italiano","Audax Italiano",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Audax Italiano"
"Fernando Cornejo","Mediocampista","Cobreloa","Traspaso","Altas","Audax Italiano","Audax Italiano",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Audax Italiano"
"Juan Leiva","Mediocampista","Universidad de Chile","Libre","Altas","Audax Italiano","Audax Italiano",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Audax Italiano"
"Jorge Henríquez","Mediocampista","San Marcos","Vuelve de préstamo","Altas","Audax Italiano","Audax Italiano",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Audax Italiano"
"Ignacio Jeraldino","Delantero","Unión San Felipe","Cesión","Altas","Audax Italiano","Audax Italiano",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Audax Italiano"
"Sebastián Silva","Defensa central","Audax Italiano","Fin de contrato","Bajas","Deportes Iberia","Audax Italiano",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Audax Italiano","Primera B"
"Hans Martínez","Defensa central","Audax Italiano","Fin de contrato","Bajas","NA","Audax Italiano",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Audax Italiano","Otros"
"Sebastián Vegas","Defensa central","Audax Italiano","Traspaso","Bajas","Monarcas Morelia","Audax Italiano",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Audax Italiano","Extranjero"
"David Drocco","Mediocampista","Audax Italiano","Fin de contrato","Bajas","Arsenal de Sarandí","Audax Italiano",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Audax Italiano","Extranjero"
"César Cortés","Mediocampista","Audax Italiano","Rescisión de contrato","Bajas","Santiago Wanderers","Audax Italiano",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Audax Italiano","Santiago Wanderers"
"Alexis Delgado","Mediocampista","Audax Italiano","Rescisión de Contrato","Bajas","Deportes Iberia","Audax Italiano",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Audax Italiano","Primera B"
"Camilo Melivilú","Delantero","Audax Italiano","Fin de Contrato","Bajas","Coquimbo","Audax Italiano",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Audax Italiano","Primera B"
"Diego Vallejos","Delantero","Audax Italiano","Traspaso","Bajas","Universidad Católica","Audax Italiano",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Audax Italiano","Universidad Católica"
"Marcos Riquelme","Delantero","Audax Italiano","Traspaso","Bajas","Bolívar","Audax Italiano",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Audax Italiano","Extranjero"
