Key2,Pos,Club,PJ,PG,PE,PP,GFC,Dif,PTS,Group,Year,Key,Club2,Pais,Fecha_value,value_raw,Value,clas,Mean,Sd,Value2,Value_centered,clas_factor
2011 1,1,libertad,6,4,2,0,13:05,8,14,1,2011,libertad 2011,libertad,Paraguay,01-02-2011,18.3,18.3,1,16.325,6.149051417,0.321187752,1.975,SI
2011 1,2,once caldas,6,1,4,1,7:08,-1,7,1,2011,once caldas 2011,once caldas,Colombia,01-02-2011,"16,45 Mill. €",16.45,1,16.325,6.149051417,0.020328339,0.125,SI
2011 1,3,usm porres,6,2,0,4,7:11,-4,6,1,2011,usm porres 2011,san martin porres,Peru,01-02-2011,7.95,7.95,0,16.325,6.149051417,-1.361998694,-8.375,NO
2011 1,4,san luis,6,1,2,3,6:09,-3,5,1,2011,san luis 2011,san luis,Mexico,01-02-2011,22.6,22.6,0,16.325,6.149051417,1.020482604,6.275,NO
2011 2,1,junior fc,6,4,1,1,9:07,2,13,2,2011,junior fc 2011,junior fc,Colombia,01-02-2011,"37,20 Mill. €",37.2,1,21.225,20.38490046,0.783668286,15.975,SI
2011 2,2,gremio,6,3,1,2,9:06,3,10,2,2011,gremio 2011,gremio ,Brasil,01-02-2011,"40,45 Mill. €",40.45,1,21.225,20.38490046,0.943100019,19.225,SI
2011 2,3,oriente p.,6,2,0,4,7:08,-1,6,2,2011,oriente p. 2011,oriente petrolero,Bolivia,01-02-2011,2.55,2.55,0,21.225,20.38490046,-0.916119264,-18.675,NO
2011 2,4,leon fc de huanuco,6,1,2,3,4:08,-4,5,2,2011,leon fc de huanuco 2011,leon de huanuco,Peru,01-02-2011,4.7,4.7,0,21.225,20.38490046,-0.810649041,-16.525,NO
2011 3,1,america,6,3,1,2,8:07,1,10,3,2011,america 2011,america,Mexico,01-02-2011,44.8,44.8,1,39.95,8.623031176,0.56244723,4.85,SI
2011 3,2,fluminense,6,2,2,2,9:09,0,8,3,2011,fluminense 2011,fluminense ,Brasil,01-02-2011,"45,60 Mill. €",45.6,1,39.95,8.623031176,0.655222031,5.65,SI
2011 3,3,nacional,6,2,2,2,3:03,0,8,3,2011,nacional 2011, nacional,Uruguay,01-02-2011,"27,20 Mill. €",27.2,0,39.95,8.623031176,-1.478598388,-12.75,NO
2011 3,4,argentinos,6,2,1,3,9:10,-1,7,3,2011,argentinos 2011,argentinos juniors,Argentina,01-02-2011,"42,20 Mill. €",42.2,0,39.95,8.623031176,0.260929127,2.25,NO
2011 4,1,universidad catolica,6,3,2,1,11:09,2,11,4,2011,universidad catolica 2011,universidad catolica,Chile,01-02-2011,"16,33 Mill. €",16.33,1,25.02,28.23573268,-0.307766053,-8.69,SI
2011 4,2,velez sarsfield,6,3,1,2,12:07,5,10,4,2011,velez sarsfield 2011, velez sarsfield,Argentina,01-02-2011,"66,70 Mill. €",66.7,1,25.02,28.23573268,1.476143739,41.68,SI
2011 4,3,caracas fc,6,3,0,3,7:10,-3,9,4,2011,caracas fc 2011,caracas fc,Venezuela,01-02-2011,"4,35 Mill. €",4.35,0,25.02,28.23573268,-0.732051129,-20.67,NO
2011 4,4,union espanola,6,1,1,4,7:11,-4,4,4,2011,union espanola 2011,union espanola,Chile,01-02-2011,"12,70 Mill. €",12.7,0,25.02,28.23573268,-0.436326556,-12.32,NO
2011 5,1,cerro porteno,6,3,2,1,13:08,5,11,5,2011,cerro porteno 2011,cerro porteno,Paraguay,01-02-2011,11.28,11.28,1,26.2525,28.32100678,-0.528671177,-14.9725,SI
2011 5,2,santos fc,6,3,2,1,11:08,3,11,5,2011,santos fc 2011,santos fc,Brasil,01-02-2011,"68,20 Mill. €",68.2,1,26.2525,28.32100678,1.481144379,41.9475,SI
2011 5,3,colo colo,6,3,0,3,15:16,-1,9,5,2011,colo colo 2011,colo colo,Chile,01-02-2011,"18,18 Mill. €",18.18,0,26.2525,28.32100678,-0.285035771,-8.0725,NO
2011 5,4,deportivo tachira,6,0,2,4,5:12,-7,2,5,2011,deportivo tachira 2011,deportivo tachira,Venezuela,01-02-2011,"7,35 Mill. €",7.35,0,26.2525,28.32100678,-0.667437431,-18.9025,NO
2011 6,1,sport internacional,6,4,1,1,14:03,11,13,6,2011,sport internacional 2011,sport  internacional,Brasil,01-02-2011,"38,05 Mill. €",38.05,1,11.095,17.99415924,1.497986077,26.955,SI
2011 6,2,jaguares,6,3,0,3,6:08,-2,9,6,2011,jaguares 2011,jaguares de chiapas,Mexico,01-02-2011,1.7,1.7,1,11.095,17.99415924,-0.522113864,-9.395,SI
2011 6,3,cs emelec,6,2,2,2,4:05,-1,8,6,2011,cs emelec 2011,cs emelec,Ecuador,01-02-2011,"3,40 Mill. €",3.4,0,11.095,17.99415924,-0.427638763,-7.695,NO
2011 6,4,wilstermann,6,1,1,4,3:11,-8,4,6,2011,wilstermann 2011,wilstermann,Bolivia,01-02-2011,1.23,1.23,0,11.095,17.99415924,-0.54823345,-9.865,NO
2011 7,1,cruzeiro,6,5,1,0,20:01,19,16,7,2011,cruzeiro 2011,cruzeiro esporte e,Brasil,01-02-2011,"42,00 Mill. €",42,1,38.42,27.02380309,0.132475802,3.58,SI
2011 7,2,estudiantes de la planta,6,3,1,2,9:11,-2,10,7,2011,estudiantes de la planta 2011,estudiantes de la plata,Argentina,01-02-2011,"72,40 Mill. €",72.4,1,38.42,27.02380309,1.257409991,33.98,SI
