PTS,Pos,Club,Group,Year,Value,Value_centered,clas_factor,fitted,sum_p,real_p,
14,1,libertad,1,2011,18.3,1.975,SI,0.566369116,2.104444936,26.91299289,paraguay
7,2,once caldas,1,2011,16.45,0.125,SI,0.528948736,2.104444936,25.13483372,colombia
6,3,usm de porres,1,2011,7.95,-8.375,NO,0.359290211,2.104444936,17.0729205,peru
5,4,san luis fc,1,2011,22.6,6.275,NO,0.649836874,2.104444936,30.87925289,mexico
13,1,junior fc,2,2011,37.2,15.975,SI,0.803879766,2.064667553,38.93507045,colombia
10,2,gremio,2,2011,40.45,19.225,SI,0.842402884,2.064667553,40.80089709,brasil
6,3,oriente p.,2,2011,2.55,-18.675,NO,0.194683513,2.064667553,9.429291053,bolivia
5,4,leon fc,2,2011,4.7,-16.525,NO,0.22370139,2.064667553,10.83474141,mexico
10,1,america,3,2011,44.8,4.85,SI,0.622908796,2.114659556,29.45669406,mexico
8,2,fluminense,3,2011,45.6,5.65,SI,0.638131982,2.114659556,30.17658232,brasil
8,3,nacional,3,2011,27.2,-12.75,NO,0.281740829,2.114659556,13.32322395,uruguay
7,4,argentinos juniors,3,2011,42.2,2.25,NO,0.57187795,2.114659556,27.04349967,argentina
11,1,universidad catolica,4,2011,16.33,-8.69,SI,0.353388251,1.783673615,19.81238317,chile
10,2,velez sarsfield,4,2011,66.7,41.68,SI,0.970987326,1.783673615,54.43750009,argentina
9,3,caracas fc,4,2011,4.35,-20.67,NO,0.170394631,1.783673615,9.553016301,venezuela
4,4,union espanola,4,2011,12.7,-12.32,NO,0.288903407,1.783673615,16.19710044,chile
11,1,cerro porteno,5,2011,11.28,-14.9725,SI,0.246493802,1.774875093,13.88795206,paraguay
11,2,santos fc,5,2011,68.2,41.9475,SI,0.971596629,1.774875093,54.74169045,brasil
9,3,colo colo,5,2011,18.18,-8.0725,NO,0.364998358,1.774875093,20.56473494,chile
2,4,deportivo tachira,5,2011,7.35,-18.9025,NO,0.191786303,1.774875093,10.80562255,venezuela
13,1,sport internacional,6,2011,38.05,26.955,SI,0.909511546,1.953804291,46.55080093,brasil
9,2,jaguares,6,2011,1.7,-9.395,SI,0.340341972,1.953804291,17.41945055,mexico
8,3,emelec,6,2011,3.4,-7.695,NO,0.372175185,1.953804291,19.04874439,ecuador
4,4,wilstermann,6,2011,1.23,-9.865,NO,0.331775587,1.953804291,16.98100413,bolivia
16,1,cruzeiro,7,2011,42,3.58,SI,0.598246912,2.02570586,29.53276308,brasil
10,2,estudiantes de la plata,7,2011,72.4,33.98,SI,0.94692744,2.02570586,46.74555464,argentina
8,3,deportes tolima,7,2011,32.25,-6.17,NO,0.401716473,2.02570586,19.830938,venezuela
0,4,guarani,7,2011,7.03,-31.39,NO,0.078815035,2.02570586,3.89074428,paraguay
10,1,ldu quito,8,2011,11.7,-23.8,SI,0.137225851,2.109462555,6.505251798,ecuador
9,2,penarol,8,2011,31.4,-4.1,SI,0.442944963,2.109462555,20.99800076,uruguay
8,3,independiente de avellaneda,8,2011,55.6,20.1,NO,0.851661945,2.109462555,40.37340899,argentina
7,4,godoy cruz,8,2011,43.3,7.8,NO,0.677629796,2.109462555,32.12333845,paraguay
13,1,santos fc,1,2012,87.8,50.23,SI,0.985356918,1.926142531,51.15700951,paraguay
8,2,sport internacional,1,2012,52.8,15.23,SI,0.794107107,1.926142531,41.22784759,brasil
7,3,the strongest,1,2012,1.5,-36.07,NO,0.055155211,1.926142531,2.863506226,bolivia
6,4,juan aurich,1,2012,8.18,-29.39,NO,0.091523295,1.926142531,4.751636672,peru
10,1,lanus,2,2012,32.3,7.23,SI,0.667375103,2.05692262,32.44531889,argentina
9,2,emelec,2,2012,2.65,-22.42,SI,0.151126659,2.05692262,7.347221389,ecuador
8,3,flamengo,2,2012,49.1,24.03,NO,0.88782756,2.05692262,43.16290516,brasil
7,4,olimpia,2,2012,16.23,-8.84,NO,0.350593298,2.05692262,17.04455456,paraguay
10,1,union espanola,3,2012,9.88,-1.7525,SI,0.49063868,2.103169785,23.32853408,chile
10,2,bolivar,3,2012,3.9,-7.7325,SI,0.371459669,2.103169785,17.66189644,bolivia
7,3,junior fc,3,2012,15.1,3.4675,NO,0.596036089,2.103169785,28.33989408,colombia
6,4,universidad catolica,3,2012,17.65,6.0175,NO,0.645035346,2.103169785,30.6696754,chile
15,1,fluminense,4,2012,43.9,17.655,SI,0.824619207,2.141054822,38.51462366,brasil
13,2,boca juniors,4,2012,36.45,10.205,SI,0.718971697,2.141054822,33.5802563,argentina
6,3,arsenal de sarandi,4,2012,23.68,-2.565,NO,0.474067458,2.141054822,22.1417711,argentina
1,4,zamora,4,2012,0.95,-25.295,NO,0.12339646,2.141054822,5.76334894,venezuela
13,1,libertad,5,2012,12.3,-3.715,SI,0.450718618,2.063536968,21.84204233,paraguay
13,2,vasco da gama,5,2012,31.4,15.385,SI,0.796169658,2.063536968,38.58276686,brasil
6,3,nacional,5,2012,10.48,-5.535,NO,0.414244852,2.063536968,20.07450597,uruguay
3,4,alianza lima,5,2012,9.88,-6.135,NO,0.402403841,2.063536968,19.50068484,peru
14,1,corinthians,6,2012,43.65,21.5125,SI,0.865656,2.053378236,42.15764952,brasil
11,2,cruz azul,6,2012,33.2,11.0625,SI,0.732905914,2.053378236,35.69268932,mexico
4,3,nacional paraguay,6,2012,6.85,-15.2875,NO,0.241745611,2.053378236,11.77306774,paraguay
3,4,deportivo tachira,6,2012,4.85,-17.2875,NO,0.213070711,2.053378236,10.37659342,venezuela
12,1,velez sarsfield,7,2012,28.6,8.9675,SI,0.698101659,2.082659243,33.51972537,argentina
10,2,deportivo quito,7,2012,7.65,-11.9825,SI,0.294600258,2.082659243,14.14538931,ecuador
9,3,defensor sporting,7,2012,8.93,-10.7025,NO,0.3167861,2.082659243,15.21065439,uruguay
4,4,guadalajara,7,2012,33.35,13.7175,NO,0.773171227,2.082659243,37.12423093,mexico
13,1,universidad de chile,8,2012,22.25,2.4125,SI,0.575124905,2.104858523,27.32368463,chile
11,2,atletico nacional,8,2012,22.95,3.1125,SI,0.589034499,2.104858523,27.98451739,colombia
