fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"2 de octubre de 2016, 12:00","Monumental, Santiago (Macul)","Colo-Colo","Universidad de Chile","2:0 (1:0)","Barroso  27'

Rodríguez  46'",""
"31 de julio de 2016, 18:00","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Palestino","1:0 (0:0)","Conti  76'",""
"8 de diciembre de 2016, 18:00","Germán Becker, Temuco","Deportes Temuco","Universidad Católica","0:2 (0:0)","","Castillo  62' ,  89'  (pen.)"
"5 de noviembre de 2016, 15:30","El Cobre, El Salvador","Cobresal","Audax Italiano","1:1 (1:1)","Rojas  39'","Cornejo  4'"
"1 de octubre de 2016, 18:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Huachipato","2:1 (1:1)","Castillo  15'  (pen.)

Buonanotte  59'","Dávila  39'"
"29 de octubre de 2016, 18:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Audax Italiano","4:1 (1:0)","Noir  37'

Castillo  48'

Lanaro  50'

Kalinski  75'","Riquelme  59'  (pen.)"
"5 de noviembre de 2016, 18:00","El Teniente, Rancagua","O'Higgins","Deportes Antofagasta","3:1 (0:1)","Calandria  69'

Jerez  77'  (a.g.)

Lezcano  89'","Ciampichetti  4'"
"31 de julio de 2016, 20:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Deportes Temuco","0:2 (0:0)","","Gutiérrez  66'

Martínez  80'  (pen.)"
"20 de agosto de 2016, 17:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Universidad de Concepción","3:1 (2:0)","Mora  2'

Leiva  19'

Fernández  82'","Manríquez  87'  (pen.)"
"30 de octubre de 2016, 18:00","Monumental, Santiago (Macul)","Colo-Colo","San Luis","3:3 (0:3)","Paredes  50' ,  74' ,  81'","Fiorina  4' ,  40'

Sirino  32'  (pen.)"
"19 de noviembre de 2016, 18:00","Santa Laura, Santiago (Independencia)","Unión Española","Universidad de Chile","2:3 (2:1)","Churín  2'

Salom  17'","Zacaría  45+1' ,  82'

Fernández  52'"
"8 de diciembre de 2016, 15:00","Ester Roa Rebolledo, Concepción","Palestino","Colo-Colo","1:2 (0:2)","Benegas  61'","Vilches  40'

Morales  44'"
"6 de noviembre de 2016, 12:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Colo-Colo","2:2 (0:1)","Maripán  55'

Castillo  86'  (pen.)","Rodríguez  21'

Rivero  57'"
"20 de noviembre de 2016, 15:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Universidad Católica","1:5 (1:2)","Astaburuaga  45+1'","Buonanotte  25' ,  61'

Noir  43'

Fuenzalida  84'

Castillo  90'  (pen.)"
"3 de diciembre de 2016, 15:30","El Cobre, El Salvador","Cobresal","Palestino","0:2 (0:1)","","Rosende  14'

Farías  90+1'"
"4 de diciembre de 2016, 12:00","Germán Becker, Temuco","Deportes Temuco","Universidad de Chile","0:3 (0:2)","","Mora  8' ,  89'

Zacaría  17'"
"12 de septiembre de 2016, 20:30","Municipal, Santiago (La Florida)","Audax Italiano","Unión Española","3:1 (0:0)","Carrasco  50'  (pen.)

Melivilú  61'

Silva  66'","Salom  71'"
"7 de agosto de 2016, 15:30","Municipal, Santiago (La Florida)","Audax Italiano","Colo-Colo","0:2 (0:1)","","Rivero  9'

Paredes  90+3'"
"4 de diciembre de 2016, 17:00","Ester Roa Rebolledo, Concepción","Universidad de Concepción","O'Higgins","3:1 (1:0)","Alarcón  27'

Lepe  47'

Camargo  90+5'","Lezcano  70'"
"2 de octubre de 2016, 15:00","Cavancha, Iquique","Deportes Iquique","Palestino","2:2 (1:1)","Ramos  37'

Bustamante  82'  (pen.)","Benegas  11' ,  76'"
"13 de agosto de 2016, 18:00","Monumental, Santiago (Macul)","Colo-Colo","Deportes Temuco","0:2 (0:1)","","Donoso  45+2'

Martínez  82'"
