fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"31 de enero de 2015, 21:00","Municipal, Santiago (La Florida)","Audax Italiano","Palestino","1:2 (1:0)","Valdés  19'","Riquelme  73' ,  85'"
"10 de abril de 2015, 20:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Unión La Calera","4:2 (3:2)","Gutiérrez  1'

Muñoz  20'

Rojas  24'

Charles  90'  (a.g.)","Charles  15'

Rosales  27'  (pen.)"
"18 de enero de 2015, 16:00","El Cobre, El Salvador","Cobresal","Deportes Iquique","4:2 (4:0)","Donoso  5'

Fuentes  14'

Sánchez  30'

Cantero  35'  (pen.)","Villalobos  53'

Bogado  63'"
"30 de enero de 2015, 18:30","CAP, Talcahuano","Huachipato","Cobresal","2:1 (1:0)","Duma  44'

Vilches  53'","Cantero  81'  (pen.)"
"5 de febrero de 2015, 16:00","Luis Becerra Constanzo, Calama","Cobreloa","O'Higgins","0:0 (0:0)","",""
"6 de marzo de 2015, 18:30","Santa Laura, Santiago (Independencia)","Unión Española","Santiago Wanderers","2:2 (0:1)","Galdames  65'

Scotti  84'","J. Luna  10'  (pen.)

Cellerino  49'"
"4 de febrero de 2015, 18:00","Santa Laura, Santiago (Independencia)","Unión Española","Colo-Colo","1:3 (0:1)","Mirosevic  51'  (pen.)","Delgado  44'

Baeza  60'

E. Pavez  73'"
"11 de enero de 2015, 16:30","Luis Valenzuela Hermosilla, Copiapó","Deportes Iquique","Colo-Colo","3:2 (0:0)","Castro  46'

Gómez  57'

Villalobos  90+2'","Suazo  55'

Paredes  65'"
"1 de marzo de 2015, 17:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Colo-Colo","0:1 (0:0)","","Paredes  82'"
"25 de abril de 2015, 17:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Universidad de Concepción","0:1 (0:1)","","Reynero  45+1'"
"7 de enero de 2015, 16:00","Luis Becerra Constanzo, Calama","Cobreloa","Palestino","3:0 (1:0)","Herrera  9'

López  73'

Reinoso  84'",""
"4 de enero de 2015, 17:00","Municipal de Yumbel, Yumbel","Universidad de Concepción","Deportes Iquique","3:1 (3:0)","Salinas  2'

Aguirre  5'

Zúñiga  34'","Villalobos  67'"
"1 de febrero de 2015, 16:00","El Teniente, Rancagua","O'Higgins","Colo-Colo","0:2 (0:0)","","E. Pavez  57'

Beausejour  65'"
"13 de marzo de 2015, 17:30","Municipal de Yumbel, Yumbel","Universidad de Concepción","Ñublense","2:2 (2:1)","Huentelaf  42'

Vargas  45+1'  (pen.)","Lorca  33' ,  68'"
"14 de febrero de 2015, 16:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Colo-Colo","1:2 (0:1)","Alarcón  50'","Valdes  24'

Flores  85'"
"31 de enero de 2015, 17:00","Municipal de Yumbel, Yumbel","Universidad de Concepción","Cobreloa","3:2 (2:2)","Vargas  1' ,  35'

Reynero  80'","Cristaldo  18'

Herrera  45+2'"
"18 de abril de 2015, 16:00","Zorros del Desierto, Calama","Cobreloa","Deportes Antofagasta","3:1 (2:0)","Silva  6'  (pen.)

González  20'

Jiménez  57'","Delfino  73'"
"25 de abril de 2015, 17:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Unión La Calera","4:2 (2:1)","J. Luna  6'  (pen.)  58'

Cellerino  18'

Prieto  66'","Rosales  45+3'  (pen.)

Vidal  74'"
"4 de febrero de 2015, 17:00","Municipal de Mejillones, Mejillones","Deportes Antofagasta","San Marcos de Arica","0:2 (0:2)","","González  19'

Rivera  28'"
"11 de abril de 2015, 16:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Deportes Antofagasta","0:2 (0:0)","","G. Martínez  75'

Jadue  82'"
"5 de abril de 2015, 16:00","Municipal de Yumbel, Yumbel","Universidad de Concepción","San Marcos de Arica","3:2 (1:0)","Huentelaf  41'

Churín  78'

Lepe  90+3'","Ramos  83'

Harbottle  90+2'"
"4 de abril de 2015, 20:30","Santa Laura, Santiago (Independencia)","Unión Española","Barnechea","2:1 (0:1)","Ampuero  48'

López  64'","Yévenes  35'"
"19 de abril de 2015, 12:00","Municipal de Yumbel, Yumbel","Universidad de Concepción","Audax Italiano","2:2 (2:0)","Huentelaf  5' ,  41'","Carrasco  57'  (pen.)

Bosso  78'"
"21 de febrero de 2015, 21:00","Santa Laura, Santiago (Independencia)","Unión Española","O'Higgins","1:2 (1:0)","Abán  11'","Calandria  50' ,  54'  (pen.)"
"28 de marzo de 2015, 15:30","Nicolás Chahuán Nazar, La Calera","Unión La Calera","San Marcos de Arica","1:4 (1:2)","Pineda  29'","Medina  19'

Harbottle  45' ,  60'

Rivera  81'"
"21 de marzo de 2015, 18:00","Monumental, Santiago (Macul)","Colo-Colo","Unión La Calera","1:4 (0:2)","Paredes  53'","Tévez  5' ,  77'

Pineda  27'

Barroso  86'  (a.g.)"
"2 de mayo de 2015, 21:00","Santa Laura, Santiago (Independencia)","Unión Española","Cobresal","1:1 (0:0)","Saavedra  62'","Cantero  66'"
"19 de abril de 2015, 18:00","Santa Laura, Santiago (Independencia)","Barnechea","Universidad de Chile","1:4 (1:3)","Ivanobski  38'","Canales  13'

Carmona  40'

Ubilla  44' ,  50'"
"26 de abril de 2015, 12:00","Municipal, Santiago (La Florida)","Audax Italiano","O'Higgins","3:0 (0:0)","Carrasco  54'  (pen.)

Vallejos  71'

Cornejo  74'",""
"12 de abril de 2015, 15:30","Tierra de Campeones, Iquique","Deportes Iquique","Unión Española","0:1 (0:1)","","Salom  22'"
"11 de abril de 2015, 18:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Cobreloa","4:0 (2:0)","Canales  27'

Magalhaes  38'

Rodríguez  50'

Lorenzetti  86'",""
"20 de febrero de 2015, 21:00","San Carlos, Santiago (Las Condes)","Barnechea","Ñublense","1:3 (0:1)","González  90'","Varas  21'

Lanzini  76'

Rodríguez  90+5'"
"18 de abril de 2015, 18:00","Santa Laura, Santiago (Independencia)","Unión Española","Huachipato","0:1 (0:0)","","Véjar  89'"
"1 de abril de 2015, 19:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Palestino","0:3 (0:1)","","Cantillana  1'

Valenzuela  64'

Chaves  73'"
"20 de marzo de 2015, 12:30","San Carlos, Santiago (Las Condes)","Barnechea","Deportes Antofagasta","1:3 (1:1)","Ibáñez  17'","Aguirre  20'  (pen.)

Bolados  66'

Martínez  81'"
"15 de febrero de 2015, 21:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Huachipato","0:1 (0:0)","","Mancilla  76'"
"22 de febrero de 2015, 21:00","Municipal, Santiago (La Florida)","Audax Italiano","Cobreloa","1:0 (0:0)","Saavedra  58'",""
"21 de febrero de 2015, 18:30","CAP, Talcahuano","Huachipato","Deportes Antofagasta","2:0 (0:0)","Delgado  50'

Ezquerra  88'",""
"11 de abril de 2015, 21:00","Municipal, Santiago (La Pintana)","Cobresal","Ñublense","1:0 (1:0)","Donoso  5'",""
"26 de abril de 2015, 16:30","El Cobre, El Salvador","Cobresal","Barnechea","3:2 (1:2)","Cantero  29'

Sánchez  62'

Donoso  82'  (pen.)","Santander  21'

Moya  33'"
"14 de marzo de 2015, 16:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Colo-Colo","1:2 (1:0)","Ubilla  17'","Paredes  54' ,  90+3'  (pen.)"
"3 de febrero de 2015, 19:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Iquique","2:3 (0:0)","Canales  51'  (pen.)

Benegas  64'","Gomez  63'

Bogado  76'

Castro  90+2'"
"4 de enero de 2015, 18:30","Monumental, Santiago (Macul)","Colo-Colo","San Marcos de Arica","0:1 (0:0)","","Ramos  73'"
"3 de abril de 2015, 20:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Deportes Iquique","2:0 (1:0)","Lorca  45+3' ,  80'",""
"10 de enero de 2015, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Ñublense","0:0 (0:0)","",""
"27 de febrero de 2015, 18:30","Lucio Fariña Férnandez, Quillota","Santiago Wanderers","Universidad de Concepción","0:0 (0:0)","",""
"1 de marzo de 2015, 18:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Unión Española","1:2 (1:2)","Aguirre  44'","Ferreyra  9' ,  22'"
"13 de febrero de 2015, 21:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Unión Española","1:2 (1:1)","Carmona  14'","Abán  31'

Ferreyra  84'"
"21 de febrero de 2015, 16:00","Carlos Dittborn, Arica","San Marcos de Arica","Universidad Católica","3:3 (2:1)","González  1'

Harbottle  13'

Medina  78'","Muñoz  36'

Llanos  83'

Gutiérrez  90+4'"
"2 de enero de 2015, 20:00","El Teniente, Rancagua","O'Higgins","Unión La Calera","2:1 (1:0)","Lezcano  35'

Lizio  60'","Pineda  73'"
