fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"26 de noviembre de 2017","Lucio Fariña Fernández, Quillota","San Luis","Universidad de Concepción","vs.","",""
"9 de septiembre de 2017, 20:30","La Granja, Curicó","Curicó Unido","Deportes Temuco","1:1 (0:1)","Riquelme  62'","Farfán  15'"
"10 de septiembre de 2017, 15:30","Sausalito, Viña del Mar","Everton","Palestino","3:1 (0:0)","Cuevas  50',  56'

Rubio  59'","Barrientos  82'"
"22 de octubre de 2017, 15:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","O'Higgins","vs.","",""
"29 de septiembre de 2017, 20:00","La Granja, Curicó","Curicó Unido","Deportes Antofagasta","vs.","",""
"1 de octubre de 2017, 15:30","Municipal, Santiago (La Cisterna)","Palestino","Deportes Temuco","vs.","",""
"5 de agosto de 2017, 15:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Santiago Wanderers","2:2 (2:0)","Droguett  34',  41'","Pineda  74'

Alarcón  86' (a.g.)"
"15 de octubre de 2017, 18:00","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Huachipato","vs.","",""
"30 de julio de 2017, 18:00","Monumental, Santiago (Macul)","Colo-Colo","Deportes Antofagasta","0:0","",""
"9 de septiembre de 2017, 15:30","Lucio Fariña Fernández, Quillota","San Luis","Santiago Wanderers","0:2 (0:1)","","Cortés  35'

Medel  89'"
"3 de diciembre de 2017","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Universidad de Chile","vs.","",""
"26 de agosto de 2017, 12:00","Municipal, Santiago (La Cisterna)","Palestino","San Luis","1:3 (1:2)","Gutiérrez  37'","Caballero  18'

Escobar  43'

Lara  73'"
"23 de septiembre de 2017, 15:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Unión Española","0:0","",""
"27 de agosto de 2017, 12:00","Monumental, Santiago (Macul)","Colo-Colo","Universidad de Chile","4:1 (2:1)","Paredes  10',  50',  86'

Valdés  16'","Pinilla  33'"
"14 de octubre de 2017, 12:00","Germán Becker, Temuco","Deportes Temuco","San Luis","vs.","",""
"3 de diciembre de 2017","Sausalito, Viña del Mar","Everton","Deportes Antofagasta","vs.","",""
"21 de octubre de 2017, 18:00","Municipal, Santiago (La Florida)","Audax Italiano","Colo-Colo","vs.","",""
"13 de agosto de 2017, 18:00","Municipal, Santiago (La Florida)","Audax Italiano","Deportes Iquique","1:3 (1:1)","Carrasco  18' (pen.)","Villalobos  6'

Bustamante  58' (pen.)

Espinoza  67'"
"19 de agosto de 2017, 12:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad Católica","1:1 (0:0)","Fernández  90+2'","Vargas  52'"
"3 de diciembre de 2017","Municipal, Santiago (La Florida)","Audax Italiano","Unión Española","vs.","",""
"26 de noviembre de 2017","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Santiago Wanderers","vs.","",""
"15 de octubre de 2017, 20:30","El Teniente, Rancagua","O'Higgins","Audax Italiano","vs.","",""
"19 de agosto de 2017, 18:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Palestino","2:1 (1:1)","Barrios  21'

Carvallo  49'","Ahumada  40'"
"9 de septiembre de 2017, 12:00","Cavancha, Iquique","Deportes Iquique","Colo-Colo","1:1 (0:1)","Bielkiewicz  84'","Salinas  28' (a.g.)"
"28 de octubre de 2017, 15:30","Municipal, Santiago (La Cisterna)","Palestino","Huachipato","vs.","",""
"3 de diciembre de 2017","San Carlos, Santiago (Las Condes)","Universidad Católica","Palestino","vs.","",""
"15 de octubre de 2017, 20:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Deportes Iquique","vs.","",""
"26 de noviembre de 2017","Municipal, Santiago (La Cisterna)","Palestino","Deportes Iquique","vs.","",""
"5 de noviembre de 2017","Germán Becker, Temuco","Deportes Temuco","Deportes Antofagasta","vs.","",""
"10 de diciembre de 2017","Lucio Fariña Fernández, Quillota","San Luis","Audax Italiano","vs.","",""
"19 de agosto de 2017, 20:30","Monumental, Santiago (Macul)","Colo-Colo","Universidad de Concepción","1:2 (0:1)","Orellana  46'","Huentelaf  16'

Manríquez  51'"
"28 de julio de 2017, 20:00","Lucio Fariña Fernández, Quillota","San Luis","Huachipato","2:0 (0:0)","Caballero  81'

Césped  90+3'",""
"3 de diciembre de 2017","Monumental, Santiago (Macul)","Colo-Colo","Curicó Unido","vs.","",""
"23 de septiembre de 2017, 18:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Everton","2:2 (2:1)","Pinilla  8',  23' (pen.)","Salinas  32'

Rubio  73'"
"10 de diciembre de 2017","Santa Laura, Santiago (Independencia)","Unión Española","Everton","vs.","",""
"24 de septiembre de 2017, 20:30","Huachipato-CAP Acero, Talcahuano","Huachipato","Deportes Iquique","1:0 (0:0)","Ortega  80'",""
"28 de octubre de 2017, 18:00","Santa Laura, Santiago (Independencia)","Unión Española","Deportes Iquique","vs.","",""
"22 de octubre de 2017, 12:00","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Everton","vs.","",""
"1 de octubre de 2017, 12:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Colo-Colo","vs.","",""
"5 de noviembre de 2017","Cavancha, Iquique","Deportes Iquique","O'Higgins","vs.","",""
"13 de agosto de 2017, 12:00","Lucio Fariña Fernández, Quillota","San Luis","Universidad de Chile","2:0 (0:0)","Leal  53'

González  61'",""
"30 de septiembre de 2017, 12:00","Santa Laura, Santiago (Independencia)","Unión Española","Universidad de Chile","vs.","",""
"6 de agosto de 2017, 18:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Deportes Iquique","0:0","",""
