teams,teams-href,Nº,Nombre y apellidos,Nac.,Fecha y lugar de nac.,Posición,html table
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","1","Cristián MUÑOZ Bucolo *","CHI","01.07.77, Junín/ARG","Arquero",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","17","Jorge AMPUERO Cabello (C)","CHI","17.04.87, Huechuraba","Central",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","15","Michael RÍOS Ripoll","CHI","19.06.85, Santiago","Volante der.",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","14","Francisco PIÑA Correa","CHI","16.01.88, San Fernando","Volante ofe.",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","3","Mark GONZÁLEZ Hoffmann","CHI","10.07.84, Durban/SUD","Volante izq.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","13","Víctor DÁVILA Zavala","CHI","04.11.97, Iquique","Volante ofe.",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","6","Lucas DOMÍNGUEZ Irarrázabal","CHI","27.10.89, Pirque","Central",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","34","Ángel ROJAS Martínez","CHI","20.10.97, Requínoa","Central",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","25","Joaquín MUÑOZ Almarza","CHI","28.12.90, Quinta Normal","Arquero",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","1","David PÉREZ Molina","CHI","12.02.97, Linares","Arquero",""
"Deportes Antofagasta","http://www.sifup.cl/planteles/deportes-antofagasta/","4","Gonzalo VILLAGRA Lira","CHI","17.09.81, Recoleta","Volante def.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","8","Rodrigo PASTORINI de León","URU","04.03.90, Florida","Mediapunta",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","10","Fabián NÚÑEZ Cortés","CHI","25.06.92, San Miguel","Delantero",""
