"Team","Rank","id","ye","mo","Date"
"Germany",1,11976,2017,10,"2017-10"
"Brazil",2,11976,2017,10,"2017-10"
"Portugal",3,11976,2017,10,"2017-10"
"Argentina",4,11976,2017,10,"2017-10"
"Belgium",5,11976,2017,10,"2017-10"
"Poland",6,11976,2017,10,"2017-10"
"France",7,11976,2017,10,"2017-10"
"Spain",8,11976,2017,10,"2017-10"
"Chile",9,11976,2017,10,"2017-10"
"Peru",10,11976,2017,10,"2017-10"
"Switzerland",11,11976,2017,10,"2017-10"
"England",12,11976,2017,10,"2017-10"
"Colombia",13,11976,2017,10,"2017-10"
"Wales",14,11976,2017,10,"2017-10"
"Italy",15,11976,2017,10,"2017-10"
"Mexico",16,11976,2017,10,"2017-10"
"Uruguay",17,11976,2017,10,"2017-10"
"Croatia",18,11976,2017,10,"2017-10"
"Denmark",19,11976,2017,10,"2017-10"
"Netherlands",20,11976,2017,10,"2017-10"
"Iceland",21,11976,2017,10,"2017-10"
"Costa Rica",22,11976,2017,10,"2017-10"
"Northern Ireland",23,11976,2017,10,"2017-10"
"Slovakia",24,11976,2017,10,"2017-10"
"Sweden",25,11976,2017,10,"2017-10"
"Republic of Ireland",26,11976,2017,10,"2017-10"
"USA",27,11976,2017,10,"2017-10"
"Tunisia",28,11976,2017,10,"2017-10"
"Scotland",29,11976,2017,10,"2017-10"
"Egypt",30,11976,2017,10,"2017-10"
"Ukraine",30,11976,2017,10,"2017-10"
"Senegal",32,11976,2017,10,"2017-10"
"Turkey",33,11976,2017,10,"2017-10"
"IR Iran",34,11976,2017,10,"2017-10"
"Congo DR",35,11976,2017,10,"2017-10"
"Paraguay",36,11976,2017,10,"2017-10"
"Bulgaria",36,11976,2017,10,"2017-10"
"Serbia",38,11976,2017,10,"2017-10"
"Austria",39,11976,2017,10,"2017-10"
"Bosnia and Herzegovina",40,11976,2017,10,"2017-10"
"Nigeria",41,11976,2017,10,"2017-10"
"Cameroon",42,11976,2017,10,"2017-10"
"Australia",43,11976,2017,10,"2017-10"
"Japan",44,11976,2017,10,"2017-10"
"Romania",45,11976,2017,10,"2017-10"
"Czech Republic",46,11976,2017,10,"2017-10"
"Greece",47,11976,2017,10,"2017-10"
"Morocco",48,11976,2017,10,"2017-10"
"Panama",49,11976,2017,10,"2017-10"
"Bolivia",50,11976,2017,10,"2017-10"
"Venezuela",51,11976,2017,10,"2017-10"
"Ghana",52,11976,2017,10,"2017-10"
"Hungary",53,11976,2017,10,"2017-10"
"Montenegro",54,11976,2017,10,"2017-10"
"Burkina Faso",55,11976,2017,10,"2017-10"
"Haiti",56,11976,2017,10,"2017-10"
"China PR",57,11976,2017,10,"2017-10"
"Norway",58,11976,2017,10,"2017-10"
"Jamaica",59,11976,2017,10,"2017-10"
"Ecuador",60,11976,2017,10,"2017-10"
"Côte d'Ivoire",61,11976,2017,10,"2017-10"
"Korea Republic",62,11976,2017,10,"2017-10"
"Saudi Arabia",63,11976,2017,10,"2017-10"
"Cape Verde Islands",64,11976,2017,10,"2017-10"
"Russia",65,11976,2017,10,"2017-10"
"Guinea",66,11976,2017,10,"2017-10"
"Algeria",67,11976,2017,10,"2017-10"
"Slovenia",68,11976,2017,10,"2017-10"
"Honduras",69,11976,2017,10,"2017-10"
"Uganda",70,11976,2017,10,"2017-10"
"Albania",71,11976,2017,10,"2017-10"
"United Arab Emirates",72,11976,2017,10,"2017-10"
"Mali",72,11976,2017,10,"2017-10"
"Finland",74,11976,2017,10,"2017-10"
"South Africa",74,11976,2017,10,"2017-10"
"Uzbekistan",76,11976,2017,10,"2017-10"
"Syria",77,11976,2017,10,"2017-10"
"Zambia",77,11976,2017,10,"2017-10"
"Benin",79,11976,2017,10,"2017-10"
"Iraq",80,11976,2017,10,"2017-10"
"Estonia",80,11976,2017,10,"2017-10"
"Israel",82,11976,2017,10,"2017-10"
"Trinidad and Tobago",83,11976,2017,10,"2017-10"
"Palestine",84,11976,2017,10,"2017-10"
"FYR Macedonia",85,11976,2017,10,"2017-10"
"Cyprus",86,11976,2017,10,"2017-10"
"Libya",87,11976,2017,10,"2017-10"
"Guinea-Bissau",88,11976,2017,10,"2017-10"
"Curacao",89,11976,2017,10,"2017-10"
"Armenia",90,11976,2017,10,"2017-10"
"Belarus",91,11976,2017,10,"2017-10"
"Gabon",92,11976,2017,10,"2017-10"
"Luxembourg",93,11976,2017,10,"2017-10"
"Congo",94,11976,2017,10,"2017-10"
"Faroe Islands",95,11976,2017,10,"2017-10"
"Canada",96,11976,2017,10,"2017-10"
"El Salvador",97,11976,2017,10,"2017-10"
"Qatar",97,11976,2017,10,"2017-10"
"Sierra Leone",99,11976,2017,10,"2017-10"
"Lebanon",100,11976,2017,10,"2017-10"
"Mauritania",101,11976,2017,10,"2017-10"
"Kenya",102,11976,2017,10,"2017-10"
"Madagascar",103,11976,2017,10,"2017-10"
"Zimbabwe",104,11976,2017,10,"2017-10"
"India",105,11976,2017,10,"2017-10"
"Niger",106,11976,2017,10,"2017-10"
"Georgia",107,11976,2017,10,"2017-10"
"St. Kitts and Nevis",108,11976,2017,10,"2017-10"
"Nicaragua",108,11976,2017,10,"2017-10"
"Oman",110,11976,2017,10,"2017-10"
"Mozambique",111,11976,2017,10,"2017-10"
"Yemen",112,11976,2017,10,"2017-10"
"Jordan",113,11976,2017,10,"2017-10"
"Turkmenistan",114,11976,2017,10,"2017-10"
"Azerbaijan",115,11976,2017,10,"2017-10"
"Philippines",116,11976,2017,10,"2017-10"
"Malawi",117,11976,2017,10,"2017-10"
"Rwanda",118,11976,2017,10,"2017-10"
"Central African Republic",119,11976,2017,10,"2017-10"
"Kyrgyz Republic",120,11976,2017,10,"2017-10"
"Vietnam",121,11976,2017,10,"2017-10"
"New Zealand",122,11976,2017,10,"2017-10"
"Tajikistan",123,11976,2017,10,"2017-10"
"Togo",124,11976,2017,10,"2017-10"
"Bahrain",125,11976,2017,10,"2017-10"
"Suriname",125,11976,2017,10,"2017-10"
"Comoros",127,11976,2017,10,"2017-10"
"Guatemala",128,11976,2017,10,"2017-10"
"Latvia",129,11976,2017,10,"2017-10"
"Namibia",129,11976,2017,10,"2017-10"
"Burundi",129,11976,2017,10,"2017-10"
"Korea DPR",132,11976,2017,10,"2017-10"
"Kazakhstan",133,11976,2017,10,"2017-10"
"Equatorial Guinea",133,11976,2017,10,"2017-10"
"Liberia",135,11976,2017,10,"2017-10"
"Tanzania",136,11976,2017,10,"2017-10"
"Antigua and Barbuda",136,11976,2017,10,"2017-10"
"Thailand",138,11976,2017,10,"2017-10"
"Angola",139,11976,2017,10,"2017-10"
"Swaziland",140,11976,2017,10,"2017-10"
"Sudan",141,11976,2017,10,"2017-10"
"Hong Kong",142,11976,2017,10,"2017-10"
"Chinese Taipei",143,11976,2017,10,"2017-10"
"Andorra",144,11976,2017,10,"2017-10"
"Lithuania",145,11976,2017,10,"2017-10"
"Lesotho",146,11976,2017,10,"2017-10"
"Botswana",147,11976,2017,10,"2017-10"
"Tahiti",148,11976,2017,10,"2017-10"
"Chad",149,11976,2017,10,"2017-10"
"New Caledonia",150,11976,2017,10,"2017-10"
"Ethiopia",151,11976,2017,10,"2017-10"
"Solomon Islands",152,11976,2017,10,"2017-10"
"South Sudan",153,11976,2017,10,"2017-10"
"Afghanistan",154,11976,2017,10,"2017-10"
"Myanmar",155,11976,2017,10,"2017-10"
"Maldives",156,11976,2017,10,"2017-10"
"Grenada",157,11976,2017,10,"2017-10"
"Mauritius",158,11976,2017,10,"2017-10"
"Papua New Guinea",159,11976,2017,10,"2017-10"
"Barbados",160,11976,2017,10,"2017-10"
"Belize",161,11976,2017,10,"2017-10"
"Laos",162,11976,2017,10,"2017-10"
"Dominican Republic",163,11976,2017,10,"2017-10"
"Gambia",164,11976,2017,10,"2017-10"
"Guyana",165,11976,2017,10,"2017-10"
"Indonesia",165,11976,2017,10,"2017-10"
"Moldova",167,11976,2017,10,"2017-10"
"Puerto Rico",167,11976,2017,10,"2017-10"
"Dominica",169,11976,2017,10,"2017-10"
"Malaysia",170,11976,2017,10,"2017-10"
"Cambodia",170,11976,2017,10,"2017-10"
"St. Vincent / Grenadines",172,11976,2017,10,"2017-10"
"Singapore",173,11976,2017,10,"2017-10"
"St. Lucia",174,11976,2017,10,"2017-10"
"Fiji",175,11976,2017,10,"2017-10"
"Sao Tome e Principe",176,11976,2017,10,"2017-10"
"Nepal",176,11976,2017,10,"2017-10"
"Aruba",178,11976,2017,10,"2017-10"
"Cuba",179,11976,2017,10,"2017-10"
"Macau",180,11976,2017,10,"2017-10"
"Bermuda",181,11976,2017,10,"2017-10"
"Malta",182,11976,2017,10,"2017-10"
"Kosovo",183,11976,2017,10,"2017-10"
"Brunei Darussalam",184,11976,2017,10,"2017-10"
"Djibouti",185,11976,2017,10,"2017-10"
"Kuwait",186,11976,2017,10,"2017-10"
"Liechtenstein",187,11976,2017,10,"2017-10"
"Vanuatu",188,11976,2017,10,"2017-10"
"Seychelles",188,11976,2017,10,"2017-10"
"Bhutan",190,11976,2017,10,"2017-10"
"Guam",191,11976,2017,10,"2017-10"
"Timor-Leste",192,11976,2017,10,"2017-10"
"American Samoa",193,11976,2017,10,"2017-10"
"Cook Islands",193,11976,2017,10,"2017-10"
"Samoa",193,11976,2017,10,"2017-10"
"Bangladesh",196,11976,2017,10,"2017-10"
"Mongolia",197,11976,2017,10,"2017-10"
"Sri Lanka",198,11976,2017,10,"2017-10"
"US Virgin Islands",199,11976,2017,10,"2017-10"
"Montserrat",200,11976,2017,10,"2017-10"
"Pakistan",201,11976,2017,10,"2017-10"
"Turks and Caicos Islands",202,11976,2017,10,"2017-10"
"Cayman Islands",202,11976,2017,10,"2017-10"
"San Marino",204,11976,2017,10,"2017-10"
"British Virgin Islands",205,11976,2017,10,"2017-10"
"Anguilla",206,11976,2017,10,"2017-10"
"Bahamas",206,11976,2017,10,"2017-10"
"Eritrea",206,11976,2017,10,"2017-10"
"Gibraltar",206,11976,2017,10,"2017-10"
"Somalia",206,11976,2017,10,"2017-10"
"Tonga",206,11976,2017,10,"2017-10"
"Germany",1,12014,2017,11,"2017-11"
"Brazil",2,12014,2017,11,"2017-11"
"Portugal",3,12014,2017,11,"2017-11"
"Argentina",4,12014,2017,11,"2017-11"
"Belgium",5,12014,2017,11,"2017-11"
"Spain",6,12014,2017,11,"2017-11"
"Poland",7,12014,2017,11,"2017-11"
"Switzerland",8,12014,2017,11,"2017-11"
"France",9,12014,2017,11,"2017-11"
"Chile",10,12014,2017,11,"2017-11"
"Peru",11,12014,2017,11,"2017-11"
"Denmark",12,12014,2017,11,"2017-11"
"Colombia",13,12014,2017,11,"2017-11"
"Italy",14,12014,2017,11,"2017-11"
"England",15,12014,2017,11,"2017-11"
"Mexico",16,12014,2017,11,"2017-11"
"Croatia",17,12014,2017,11,"2017-11"
"Sweden",18,12014,2017,11,"2017-11"
"Wales",19,12014,2017,11,"2017-11"
"Netherlands",20,12014,2017,11,"2017-11"
"Uruguay",21,12014,2017,11,"2017-11"
"Iceland",22,12014,2017,11,"2017-11"
"Senegal",23,12014,2017,11,"2017-11"
"USA",24,12014,2017,11,"2017-11"
"Northern Ireland",24,12014,2017,11,"2017-11"
"Costa Rica",26,12014,2017,11,"2017-11"
"Tunisia",27,12014,2017,11,"2017-11"
"Slovakia",28,12014,2017,11,"2017-11"
"Austria",29,12014,2017,11,"2017-11"
"Paraguay",30,12014,2017,11,"2017-11"
"Egypt",31,12014,2017,11,"2017-11"
"Republic of Ireland",32,12014,2017,11,"2017-11"
"IR Iran",32,12014,2017,11,"2017-11"
"Scotland",32,12014,2017,11,"2017-11"
"Ukraine",35,12014,2017,11,"2017-11"
"Congo DR",36,12014,2017,11,"2017-11"
"Serbia",37,12014,2017,11,"2017-11"
"Bosnia and Herzegovina",38,12014,2017,11,"2017-11"
"Australia",39,12014,2017,11,"2017-11"
"Morocco",40,12014,2017,11,"2017-11"
"Romania",41,12014,2017,11,"2017-11"
"Turkey",42,12014,2017,11,"2017-11"
