"league_id","season","resultado","formLocal","formVisita"
1729,"2008/2009","E","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-5-1"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","V","4-5-1","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","L","4-5-1","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","L","4-3-2-1","4-4-2"
1729,"2008/2009","L","4-4-2","4-3-3"
1729,"2008/2009","E","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-1-4-1"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","V","4-3-1-2","4-3-3"
1729,"2008/2009","L","4-2-3-1","4-1-4-1"
1729,"2008/2009","L","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-3-1-2"
1729,"2008/2009","L","4-5-1","4-5-1"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","L","4-3-3","4-3-3"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","V","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","L","4-3-3","4-4-2"
1729,"2008/2009","L","4-5-1","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","V","4-3-3","4-4-2"
1729,"2008/2009","V","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","V","4-3-1-2","4-5-1"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","V","4-5-1","4-5-1"
1729,"2008/2009","E","4-3-3","4-4-2"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","E","4-4-2","4-5-1"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-5-1"
1729,"2008/2009","V","4-5-1","4-2-3-1"
1729,"2008/2009","V","4-4-2","4-3-3"
1729,"2008/2009","E","4-3-1-2","4-3-3"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","E","4-3-3","4-4-2"
1729,"2008/2009","V","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","E","4-4-2","4-3-1-2"
1729,"2008/2009","L","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","E","4-3-3","4-4-2"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","V","4-4-2","4-5-1"
1729,"2008/2009","V","4-4-2","4-5-1"
1729,"2008/2009","E","4-3-3","4-4-2"
1729,"2008/2009","E","4-4-2","4-4-2"
1729,"2008/2009","V","4-4-2","4-4-2"
1729,"2008/2009","L","4-4-2","4-4-2"
1729,"2008/2009","E","4-4-2","4-5-1"
1729,"2008/2009","L","4-4-2","4-5-1"
1729,"2008/2009","V","4-1-4-1","4-4-2"
