N,Club,Temp,T.J,P.J,P.G,P.E,P.P,G.F,G.C,Dif,Pts,(%),1,2,3,4
1,Colo-Colo,85,99,2476,1317,612,549,5129,4150,979,3662,"49,29%",31,19,15,8
2,Universidad de Chile,79,93,2393,1126,626,643,4340,3131,1209,3212,"44,74%",17,8,14,7
3,Universidad Católica,76,89,2305,1091,576,639,4265,3149,1116,3183,"46,03%",12,21,4,3
4,Unión Española,82,96,2375,1000,577,798,4072,3606,466,2862,"40,16%",7,9,6,12
5,Audax Italiano,71,83,2023,747,556,718,3318,3212,106,2325,"38,3%",4,8,8,3
6,Palestino,62,76,1982,714,548,720,3093,3114,-21,2246,"37,77%",2,4,2,5
7,Santiago Wanderers,60,72,1836,622,519,695,2700,2850,-150,1976,"35,87%",3,4,3,3
8,Everton,60,65,1863,670,486,708,2772,2999,-206,1955,"34,97%",4,2,-,4
9,O'Higgins,53,62,1705,621,483,611,2478,2500,-22,1938,"37,88%",1,1,3,6
10,Cobreloa,38,51,1251,595,319,337,2134,1459,676,1817,"48,41%",8,8,6,3
11,Huachipato,43,53,1427,500,388,551,1943,1990,-47,1652,"38,58%",2,-,3,1
12,Rangers,46,55,1506,437,435,634,2004,2504,-500,1438,"31,82%",-,2,2,1
13,Deportes La Serena,40,49,1319,422,379,520,1840,2122,-282,1364,"34,47%",-,-,2,1
14,Magallanes,49,49,1306,495,332,479,2355,2307,48,1322,"33,74%",4,-,2,3
15,Santiago Morning,46,53,1293,428,312,521,2180,2458,-278,1241,"31,99%",1,2,-,6
16,Deportes Concepción,34,38,1137,386,337,395,1441,1557,-116,1222,"35,82%",-,1,-,2
17,Green Cross,25,25,1217,408,318,491,2023,2276,-253,1134,"31,05%",1,-,-,2
18,Cobresal,28,44,863,281,234,320,1208,1229,-21,1103,"42,60%",1,2,-,3
19,Deportes Antofagasta,27,35,882,260,238,383,1053,1367,-314,877,"33,14%",-,-,-,-
20,Coquimbo Unido,24,29,782,218,214,350,941,1250,-309,781,"27,66%",-,2,-,-
21,Deportes Iquique,22,28,707,217,212,277,887,1070,-183,763,"35,97%",-,1,1,-
22,Unión San Felipe,24,30,812,232,215,365,1070,1389,-308,746,"30,62%",1,-,-,-
23,Unión La Calera,19,25,688,120,181,304,891,1164,-273,648,"31,39%",-,-,1,-
24,Universidad de Concepción,13,25,464,173,122,169,673,651,22,641,"46,04%",-,1,1,1
25,Naval,17,17,558,180,199,199,694,736,-42,540,"32,25%",-,-,-,-
26,San Luis,19,20,571,139,165,267,656,934,-278,448,"26,15%",-,-,-,-
27,Ñublense,12,18,413,119,108,187,491,671,-167,436,"35,18%",-,-,-,-
28,Lota Schwager,13,14,453,122,152,179,531,557,-26,402,"29,58%",-,-,-,-
29,Ferrobádminton,16,16,459,138,117,204,739,873,-134,393,"28,54%",-,-,1,1
30,Deportes Puerto Montt,10,16,342,101,80,161,461,591,-30,380,"37,03%",-,-,-,-
31,Deportes Temuco,30,35,357,104,100,153,481,595,-114,370,"34,54%",-,-,1,1
32,Provincial Osorno,9,11,277,69,78,130,328,471,-143,265,"31,88%",-,-,-,-
33,Fernández Vial,9,9,282,78,103,101,296,369,-73,259,"30,61%",-,-,-,-
34,Badminton,17,17,295,81,63,151,624,793,-169,224,"25,31%",-,-,2,-
35,Aviación,7,7,238,72,73,93,308,378,-70,217,"30,39%",-,-,-,-
36,San Marcos de Arica,7,9,217,64,61,92,255,307,-52,199,"30,56%",-,-,-,-
37,Regional Atacama,6,6,188,51,48,89,227,337,-110,164,"29,07%",-,-,-,-
38,Iberia,9,9,228,55,47,126,380,529,-149,157,"22,95%",-,-,-,-
39,Deportes Melipilla,4,7,145,37,33,75,149,246,-97,138,"31,72%",-,-,-,-
40,Santiago National,10,10,187,44,26,117,348,575,-227,114,"20,32%",-,-,-,-
41,Trasandino,3,3,68,21,21,26,97,97,0,63,"30,88%",-,-,-,-
42,Deportes Ovalle,2,2,68,18,21,29,88,100,-12,57,"27,94%",-,-,-,-
43,Deportes Valdivia,2,2,60,13,17,30,61,111,-50,43,"23,88%",-,-,-,-
44,Santiago National Juventus,1,1,36,14,10,12,73,79,-6,38,"35,18",-,-,1,-
45,Curicó Unido,1,2,34,10,7,17,34,57,-23,36,"35,29%",-,-,-,-
46,Barnechea,1,2,34,8,4,22,29,66,-37,28,"27,45%",-,-,-,-
47,Santiago,2,2,21,6,4,11,55,63,-8,16,"25,39%",-,-,-,-
48,Morning Star,2,2,18,2,3,13,31,87,-57,7,"12,96%",-,-,-,-
49,Carlos Walker,1,1,11,3,0,8,21,40,-19,6,"18,18%",-,-,-,-
50,Ferroviarios,1,1,11,2,1,8,22,35,-13,5,"15,15%",-,-,-,-
51,Deportivo Alemán,1,1,11,2,1,8,15,42,-27,5,"33,33%",-,-,-,-
52,Metropolitano,1,1,9,0,1,8,14,42,-28,1,"3,7%",-,-,-,-
