Resultado,Equipo
Campeón,FRANCIA
Subcampeón,ALEMANIA
3ero,BRASIL
4to,ESPAÑA
Cuartos de final,PORTUGAL
Cuartos de final,ARGENTINA
Cuartos de final,BÉLGICA
Cuartos de final,INGLATERRA
Octavos de final,POLONIA
Octavos de final,URUGUAY
Octavos de final,SUECIA
Octavos de final,EGIPTO
Octavos de final,DINAMARCA
Octavos de final,CROACIA
Octavos de final,SUIZA
Octavos de final,SENEGAL
Fase de grupos,MARRUECOS
Fase de grupos,PERÚ
Fase de grupos,ISLANDIA
Fase de grupos,SERBIA
Fase de grupos,MÉXICO
Fase de grupos,TÚNEZ
Fase de grupos,COLOMBIA
Fase de grupos,ARABIA SAUDI
Fase de grupos,NIGERIA
Fase de grupos,COSTA RICA
Fase de grupos,JAPÓN
Fase de grupos,RUSIA
Fase de grupos,IRÁN
Fase de grupos,AUSTRALIA
Fase de grupos,COREA DEL SUR
Fase de grupos,PANAMÁ
