Club;Squad;Age;Market value;delta_Market value
Club Atlético River Plate;31;25,7;73,05 Mill. €;2,36 Mill. €
Clube Atlético Mineiro;31;27,7;67,68 Mill. €;2,18 Mill. €
Sociedade Esportiva Palmeiras;32;27,7;62,50 Mill. €;1,95 Mill. €
Grêmio Foot-Ball Porto Alegrense;33;27;54,85 Mill. €;1,66 Mill. €
Clube de Regatas do Flamengo;34;26,3;52,15 Mill. €;1,53 Mill. €
Santos FC;35;26,2;47,10 Mill. €;1,35 Mill. €
Atlético Paranaense;34;25,7;35,90 Mill. €;1,06 Mill. €
Club Atlético San Lorenzo de Almagro;28;27,5;33,45 Mill. €;1,19 Mill. €
Estudiantes de La Plata;31;25,6;33,15 Mill. €;1,07 Mill. €
Club Atlético Lanús;27;27,3;31,38 Mill. €;1,16 Mill. €
Botafogo Rio de Janeiro;35;26,4;27,35 Mill. €;781 Th. €
Atlético Nacional;31;27,3;26,10 Mill. €;842 Th. €
Independiente Santa Fe;32;26,3;23,95 Mill. €;748 Th. €
Barcelona SC Guayaquil;33;25,7;23,73 Mill. €;719 Th. €
Independiente Medellín;28;27,4;23,05 Mill. €;823 Th. €
Associação Chapecoense de Futebol;38;25,3;22,10 Mill. €;582 Th. €
Junior FC;31;27,5;21,50 Mill. €;694 Th. €
Club Nacional;29;26,2;20,83 Mill. €;718 Th. €
CA Peñarol;29;24,4;20,70 Mill. €;714 Th. €
Millonarios FC;30;27,2;19,65 Mill. €;655 Th. €
CS Emelec;29;26,2;19,45 Mill. €;671 Th. €
Club Deportivo Godoy Cruz;28;24,9;17,18 Mill. €;613 Th. €
CD Universidad Católica;27;27,7;14,93 Mill. €;553 Th. €
Club Atlético Tucumán;27;27,8;14,30 Mill. €;530 Th. €
CSD Colo Colo;27;27,9;13,98 Mill. €;518 Th. €
Independiente del Valle;28;24,1;13,55 Mill. €;484 Th. €
Olimpia Asunción;26;27;12,55 Mill. €;483 Th. €
CD El Nacional;27;25,3;9,75 Mill. €;361 Th. €
Unión Española;27;25,3;9,33 Mill. €;345 Th. €
FBC Melgar;32;25,7;8,98 Mill. €;280 Th. €
Universitario de Deportes;29;26,9;8,78 Mill. €;303 Th. €
Sporting Cristal Lima;25;25,5;8,53 Mill. €;341 Th. €
Montevideo Wanderers;28;24;7,78 Mill. €;278 Th. €
Club Libertad Asunción;28;26,4;7,38 Mill. €;263 Th. €
Deportivo Táchira;29;26,6;7,38 Mill. €;254 Th. €
Deportivo Municipal;28;24,7;7,13 Mill. €;254 Th. €
CA Cerro;29;27,1;6,73 Mill. €;232 Th. €
Zamora FC;26;26,4;6,70 Mill. €;258 Th. €
Club Guaraní;32;28,1;6,58 Mill. €;205 Th. €
Carabobo FC;28;25,2;5,83 Mill. €;208 Th. €
Club Deportes Iquique;32;25,4;5,78 Mill. €;180 Th. €
Zulia FC;29;25,1;5,53 Mill. €;191 Th. €
Sport Boys Warnes;27;29,1;5,20 Mill. €;193 Th. €
The Strongest La Paz;26;28,2;3,78 Mill. €;145 Th. €
Club Jorge Wilstermann;28;27,9;3,65 Mill. €;130 Th. €
CD Capiatá;28;30;2,70 Mill. €;96 Th. €
Club Universitario de Sucre;23;29,5;1,63 Mill. €;71 Th. €
