Competition,Country,Club(s),Squad,Age,Foreign players,Total market value,ø Market value
Campeonato Brasileiro Série A,Brasil,Clube Atlético Mineiro,31,"27,5",3,"67,25 Mill. €","2,17 Mill. €"
Campeonato Brasileiro Série A,Brasil,Cruzeiro Esporte Clube,31,"27,0",5,"66,75 Mill. €","2,15 Mill. €"
Campeonato Brasileiro Série A,Brasil,São Paulo Futebol Clube,34,"25,9",5,"65,95 Mill. €","1,94 Mill. €"
Campeonato Brasileiro Série A,Brasil,Sociedade Esportiva Palmeiras,31,"27,7",3,"61,75 Mill. €","1,99 Mill. €"
Campeonato Brasileiro Série A,Brasil,Grêmio Foot-Ball Porto Alegrense,33,"27,0",6,"54,85 Mill. €","1,66 Mill. €"
Campeonato Brasileiro Série A,Brasil,Clube de Regatas do Flamengo,33,"26,4",7,"51,90 Mill. €","1,57 Mill. €"
Campeonato Brasileiro Série A,Brasil,Santos FC,34,"26,3",4,"46,35 Mill. €","1,36 Mill. €"
Campeonato Brasileiro Série A,Brasil,Sport Club Corinthians Paulista,34,"25,8",4,"46,10 Mill. €","1,36 Mill. €"
Campeonato Brasileiro Série A,Brasil,Sport Club do Recife,30,"26,2",3,"39,45 Mill. €","1,32 Mill. €"
Campeonato Brasileiro Série A,Brasil,Fluminense Football Club,28,"25,7",2,"37,18 Mill. €","1,33 Mill. €"
Campeonato Brasileiro Série A,Brasil,Atlético Paranaense,32,"25,7",3,"36,15 Mill. €","1,13 Mill. €"
Campeonato Brasileiro Série A,Brasil,Coritiba Foot Ball Club,40,"26,4",2,"29,00 Mill. €",725 Th. €
Campeonato Brasileiro Série A,Brasil,Associação Atlética Ponte Preta,32,"27,3",2,"27,95 Mill. €",873 Th. €
Campeonato Brasileiro Série A,Brasil,Esporte Clube Bahia,25,"26,5",2,"27,90 Mill. €","1,12 Mill. €"
Campeonato Brasileiro Série A,Brasil,Botafogo Rio de Janeiro,35,"26,5",4,"27,50 Mill. €",786 Th. €
Campeonato Brasileiro Série A,Brasil,Club de Regatas Vasco da Gama,31,"26,8",4,"27,33 Mill. €",881 Th. €
Campeonato Brasileiro Série A,Brasil,Esporte Clube Vitória,29,"26,6",3,"25,15 Mill. €",867 Th. €
Campeonato Brasileiro Série A,Brasil,Associação Chapecoense de Futebol,37,"25,6",2,"22,75 Mill. €",615 Th. €
Campeonato Brasileiro Série A,Brasil,Avaí Futebol Clube (SC),32,"26,7",2,"14,53 Mill. €",454 Th. €
Campeonato Brasileiro Série A,Brasil,Atlético Goianiense,24,"25,5",0,"12,80 Mill. €",533 Th. €
Primera División,Argentina,Club Atlético River Plate Recopa Sudamericana Winner 15/16,31,"25,7",6,"73,05 Mill. €","2,36 Mill. €"
