Player,Versus,StatGroup,Statistic,Per90,Percentile,BasedOnMinutes,scouting_period
João Cancelo,Fullbacks,Standard,Goals,0.03,49,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Assists,0.2,88,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Non-Penalty Goals,0.03,49,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Penalty Kicks Made,0,50,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Penalty Kicks Attempted,0,50,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Yellow Cards,0.2,36,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Red Cards,0,55,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,xG,0.11,89,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,Non-Penalty xG,0.11,89,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,xG Assisted,0.14,85,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Standard,npxG + xA,0.26,88,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Goals,0.03,49,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Shots Total,2.26,99,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Shots on target,0.64,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Shots on target %,28.4,65,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Goals/Shot,0.01,49,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Goals/Shot on target,0.04,45,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Average Shot Distance,21.5,21,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Shots from free kicks,0.03,83,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Penalty Kicks Made,0,50,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Penalty Kicks Attempted,0,50,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,xG,0.11,89,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Non-Penalty xG,0.11,89,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,npxG/Sh,0.05,35,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Goals - xG,-0.09,2,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Shooting,Non-Penalty Goals - npxG,-0.09,2,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Completed,76.75,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Attempted,91.53,99,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Pass Completion %,83.9,92,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Total Passing Distance,1377.19,96,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Progressive Passing Distance,402.45,92,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Completed (Short),36.37,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Attempted (Short),39.38,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Pass Completion % (Short),92.4,94,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Completed (Medium),31.57,97,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Attempted (Medium),36.42,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Pass Completion % (Medium),86.7,89,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Completed (Long),8.28,96,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes Attempted (Long),13.44,94,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Pass Completion % (Long),61.6,88,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Assists,0.2,88,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,xG Assisted,0.14,85,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Key Passes,1.09,70,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes into Final Third,7.42,97,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Passes into Penalty Area,2.65,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Crosses into Penalty Area,0.36,47,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Passing,Progressive Passes,7.64,97,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Passes Attempted,91.53,99,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Live-ball passes,82.11,98,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Dead-ball passes,9.43,53,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Passes from Free Kicks,1.42,85,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Through Balls,0.17,92,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Passes Under Pressure,8.23,91,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Switches,2.76,94,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Crosses,2.87,82,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Corner Kicks,0.03,47,3227,2021-2022 Premier League
João Cancelo,Fullbacks,Pass Types,Inswinging Corner Kicks,0.03,58,3227,2021-2022 Premier League
